week,opponent,result
1,NYG,WIN
2,GB,LOSS
3,LV,WIN
4,ATL,LOSS
5,LAC,WIN
6,CHI,LOSS
7,DAL,LOSS
8,KC,LOSS
9,SEA,LOSS
10,DET,LOSS
11,MIA,LOSS
12,BYE,BYE
13,DEN,LOSS
14,MIN,LOSS
15,NYG,WIN
16,PHI,LOSS
17,DAL,LOSS
18,PHI,WIN
