team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,221,55.3,0,2,60
ATL,Cameron Nizialek,punting,4,157,39.3,1,1,54
BAL,Sam Koch,punting,2,95,47.5,0,1,49
BUF,Matt Haack,punting,4,184,46.0,1,0,54
CAR,Joseph Charlton,punting,4,160,40.0,0,3,51
CHI,Pat O'Donnell,punting,4,169,42.3,1,2,47
CIN,Kevin Huber,punting,2,75,37.5,0,1,39
CLE,Jamie Gillan,punting,2,80,40.0,0,1,43
DAL,Bryan Anger,punting,1,44,44.0,0,1,44
DEN,Sam Martin,punting,4,180,45.0,0,4,48
DET,Jack Fox,punting,2,107,53.5,0,2,55
GB,Corey Bojorquez,punting,3,140,46.7,0,2,56
HOU,Cameron Johnston,punting,4,209,52.3,1,1,56
IND,Rigoberto Sanchez,punting,2,85,42.5,0,1,45
JAX,Logan Cooke,punting,4,227,56.8,0,1,64
KC,Tommy Townsend,punting,3,135,45.0,0,0,54
LAR,Johnny Hekker,punting,3,109,36.3,0,1,46
LV,AJ Cole,punting,4,190,47.5,1,2,55
MIA,Michael Palardy,punting,5,222,44.4,0,1,61
MIN,Jordan Berry,punting,5,231,46.2,0,1,60
NE,Jake Bailey,punting,5,219,43.8,0,4,60
NO,Blake Gillikin,punting,6,294,49.0,0,1,60
NYG,Riley Dixon,punting,3,123,41.0,0,2,53
NYJ,Thomas Morstead,punting,1,45,45.0,0,0,45
PHI,Arryn Siposs,punting,4,204,51.0,2,1,68
PIT,Pressley Harvin III,punting,4,197,49.3,0,3,59
SEA,Michael Dickson,punting,6,310,51.7,2,2,66
SF,Mitch Wishnowsky,punting,5,226,45.2,0,3,52
TB,Bradley Pinion,punting,4,189,47.3,0,2,57
TEN,Brett Kern,punting,2,94,47.0,0,1,53
WSH,Tress Way,punting,4,200,50.0,0,0,55
