team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,62,10,2,2,4,4
ATL,Younghoe Koo,kicking,100.0,36,5,1,1,2,2
BAL,Justin Tucker,kicking,100.0,43,6,1,1,3,3
BUF,Tyler Bass,kicking,0.0,0,5,0,1,5,5
CAR,Zane Gonzalez,kicking,67.0,42,8,2,3,2,3
CHI,Cairo Santos,kicking,100.0,28,8,2,2,2,2
CIN,Evan McPherson,kicking,100.0,53,5,1,1,2,2
CLE,Chase McLaughlin,kicking,100.0,30,7,1,1,4,4
DAL,Greg Zuerlein,kicking,100.0,56,8,2,2,2,2
DEN,Brandon McManus,kicking,100.0,46,11,3,3,2,2
DET,Austin Seibert,kicking,100.0,43,5,1,1,2,2
GB,Mason Crosby,kicking,0.0,0,5,0,0,5,5
HOU,Joey Slye,kicking,0.0,0,3,0,1,3,3
IND,Rodrigo Blankenship,kicking,100.0,48,10,3,3,1,1
JAX,Josh Lambo,kicking,0.0,0,1,0,2,1,1
KC,Harrison Butker,kicking,0.0,0,5,0,0,5,5
LAC,Tristan Vizcaino,kicking,75.0,46,9,3,4,0,0
LAR,Matt Gay,kicking,100.0,38,9,2,2,3,3
LV,Daniel Carlson,kicking,100.0,46,14,4,4,2,2
MIN,Greg Joseph,kicking,67.0,52,9,2,3,3,4
NE,Nick Folk,kicking,100.0,49,13,4,4,1,2
NO,Aldrick Rosas,kicking,0.0,55,1,0,0,1,1
NYG,Graham Gano,kicking,100.0,55,17,5,5,2,2
NYJ,Matt Ammendola,kicking,67.0,35,6,2,3,0,0
PHI,Jake Elliott,kicking,50.0,45,3,1,2,0,0
PIT,Chris Boswell,kicking,100.0,56,5,1,1,2,2
SEA,Jason Myers,kicking,100.0,31,6,1,1,3,4
SF,Robbie Gould,kicking,100.0,46,5,1,1,2,2
TB,Ryan Succop,kicking,0.0,0,6,0,0,6,7
TEN,Randy Bullock,kicking,80.0,36,15,4,5,3,3
WSH,Dustin Hopkins,kicking,100.0,49,12,3,3,3,3
