team,player,category,INT,YDS,TD
BAL,Tavon Young,interceptions,1,0,0
BUF,Levi Wallace,interceptions,1,14,0
CAR,Juston Burris,interceptions,1,17,0
CAR,Jaycee Horn,interceptions,1,13,0
CHI,Roquan Smith,interceptions,1,53,1
CHI,Angelo Blackson,interceptions,1,6,0
CHI,Jaylon Johnson,interceptions,1,3,0
CIN,Logan Wilson,interceptions,1,18,0
CLE,Malcolm Smith,interceptions,1,0,0
DAL,Damontae Kazee,interceptions,1,0,0
DAL,Trevon Diggs,interceptions,1,0,0
DEN,Kareem Jackson,interceptions,1,7,0
DEN,Pat Surtain II,interceptions,1,0,0
GB,De'Vondre Campbell,interceptions,1,2,0
HOU,Justin Reid,interceptions,1,24,0
IND,Khari Willis,interceptions,1,0,0
KC,Tyrann Mathieu,interceptions,2,50,1
LAC,Asante Samuel Jr.,interceptions,1,26,0
LAR,Jalen Ramsey,interceptions,1,0,0
LAR,Troy Reeder,interceptions,1,2,0
LV,Trayvon Mullen,interceptions,1,18,0
MIA,Xavien Howard,interceptions,1,1,0
MIN,Nick Vigil,interceptions,1,38,1
MIN,Xavier Woods,interceptions,1,27,0
NE,Adrian Phillips,interceptions,1,1,0
NE,Devin McCourty,interceptions,1,22,0
NE,J.C. Jackson,interceptions,2,1,0
NO,Malcolm Roach,interceptions,1,5,0
NYG,James Bradberry IV,interceptions,1,5,0
TB,Mike Edwards,interceptions,2,46,2
TB,Shaquil Barrett,interceptions,1,3,0
