team,player,category,FUM,LOST,REC
IND,Adonai Mitchell,fumbles,2,1,0
IND,Anthony Richardson Sr.,fumbles,9,3,6
IND,Chris Lammons,fumbles,0,0,2
IND,Dayo Odeyingbo,fumbles,0,0,1
IND,Grover Stewart,fumbles,0,0,1
IND,Joe Flacco,fumbles,4,4,0
IND,Jonathan Taylor,fumbles,3,1,0
IND,Josh Downs,fumbles,0,0,1
IND,Julian Blackmon,fumbles,0,0,1
IND,Kenny Moore II,fumbles,0,0,1
IND,Laiatu Latu,fumbles,0,0,1
IND,Michael Pittman Jr.,fumbles,1,1,0
IND,Segun Olubi,fumbles,0,0,1
IND,Tanor Bortolini,fumbles,0,0,1
IND,Taven Bryan,fumbles,0,0,1
