team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
MIA,Jaylen Waddle,passing,8,8.0,0,0,0.0,0.1,100.0,1,1
MIA,Quinn Ewers,passing,622,7.28,3,3,0.0,31.05,86.75,55,83
MIA,Tua Tagovailoa,passing,2660,6.93,20,15,0.0,38.65,87.26,260,384
MIA,Zach Wilson,passing,32,1.33,0,0,0.0,22.1,63.2,6,11
