team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,9,460,51.1,0,2,58
ATL,Bradley Pinion,punting,4,175,43.8,1,2,46
BAL,Jordan Stout,punting,2,113,56.5,0,0,66
BUF,Sam Martin,punting,3,127,42.3,0,0,45
CAR,Johnny Hekker,punting,4,174,43.5,0,2,50
CHI,Trenton Gill,punting,2,95,47.5,0,0,49
CIN,Brad Robbins,punting,3,118,39.3,0,3,49
CLE,Corey Bojorquez,punting,7,410,58.6,2,2,73
DAL,Bryan Anger,punting,2,82,41.0,0,1,52
GB,Daniel Whelan,punting,4,174,43.5,0,1,52
HOU,Cameron Johnston,punting,3,174,58.0,0,0,62
IND,Rigoberto Sanchez,punting,5,241,48.2,0,3,61
KC,Tommy Townsend,punting,6,302,50.3,1,2,68
LAC,JK Scott,punting,8,364,45.5,1,1,54
LAR,Ethan Evans,punting,5,224,44.8,0,2,65
LV,AJ Cole,punting,5,318,63.6,2,1,69
MIA,Jake Bailey,punting,7,316,45.1,0,4,52
MIN,Ryan Wright,punting,3,133,44.3,0,1,52
NE,Bryce Baringer,punting,6,326,54.3,1,2,60
NO,Lou Hedley,punting,4,164,41.0,0,3,48
NYG,Jamie Gillan,punting,4,169,42.3,0,1,48
NYJ,Thomas Morstead,punting,7,352,50.3,0,2,59
PHI,Braden Mann,punting,5,259,51.8,0,2,57
PIT,Pressley Harvin III,punting,4,200,50.0,0,3,62
SEA,Michael Dickson,punting,7,320,45.7,0,3,60
TB,Jake Camarda,punting,4,202,50.5,0,2,53
TEN,Ryan Stonehouse,punting,3,171,57.0,0,3,61
WSH,Tress Way,punting,5,239,47.8,1,4,64
