team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Clayton Tune,passing,58,2.9,0,2,7,11,20
ATL,Taylor Heinicke,passing,268,7.1,1,1,1,21,38
BAL,Tyler Huntley,passing,38,5.4,1,0,0,5,7
BAL,Lamar Jackson,passing,187,7.2,0,0,1,21,26
BUF,Josh Allen,passing,258,6.8,1,1,1,26,38
CAR,Bryce Young,passing,173,4.4,1,3,4,24,39
CHI,Tyson Bagent,passing,220,7.3,2,3,2,18,30
CIN,Joe Burrow,passing,348,7.9,2,0,1,31,44
CLE,Deshaun Watson,passing,219,7.3,2,0,1,19,30
DAL,Dak Prescott,passing,374,8.5,3,0,5,29,44
GB,Jordan Love,passing,228,8.8,1,0,4,20,26
HOU,C.J. Stroud,passing,470,11.2,5,0,3,30,42
IND,Gardner Minshew II,passing,127,4.9,1,0,1,17,26
KC,Patrick Mahomes,passing,185,6.2,2,0,2,20,30
LAC,Justin Herbert,passing,136,4.5,0,0,5,16,30
LAR,Brett Rypien,passing,130,4.6,0,1,1,13,28
LV,Aidan O'Connell,passing,209,8.4,0,0,0,16,25
MIA,Tua Tagovailoa,passing,193,5.7,1,0,3,21,34
MIN,Cam Akers,passing,0,0.0,0,0,1,0,0
MIN,Jaren Hall,passing,78,13.0,0,0,0,5,6
MIN,Joshua Dobbs,passing,158,5.3,2,0,3,20,30
NE,Mac Jones,passing,220,5.0,1,1,0,24,44
NO,Taysom Hill,passing,3,3.0,1,0,0,1,1
NO,Derek Carr,passing,211,6.2,2,0,0,25,34
NYG,Tommy DeVito,passing,175,8.8,1,2,6,15,20
NYG,Daniel Jones,passing,25,2.8,0,0,2,4,9
NYJ,Zach Wilson,passing,263,5.4,0,0,8,33,49
PHI,Jalen Hurts,passing,207,9.0,2,0,3,17,23
PIT,Kenny Pickett,passing,160,5.3,1,0,0,19,30
SEA,Geno Smith,passing,157,5.6,0,1,4,13,28
TB,Baker Mayfield,passing,265,8.8,2,0,2,21,30
TEN,Will Levis,passing,262,6.7,0,1,4,22,39
WSH,Sam Howell,passing,325,7.2,1,1,3,29,45
