team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ATL,Younghoe Koo,kicking,100.0,54,14,4,4,2,2
BAL,Justin Tucker,kicking,100.0,45,13,3,3,4,4
BUF,Tyler Bass,kicking,100.0,34,4,1,1,1,1
CAR,Eddy Pineiro,kicking,100.0,49,7,2,2,1,1
CHI,Cairo Santos,kicking,50.0,31,5,1,2,2,2
CIN,Evan McPherson,kicking,100.0,20,6,1,1,3,3
CLE,Dustin Hopkins,kicking,67.0,45,9,2,3,3,3
DAL,Brandon Aubrey,kicking,100.0,51,5,1,1,2,2
GB,Anders Carlson,kicking,67.0,34,8,2,3,2,2
HOU,Ka'imi Fairbairn,kicking,100.0,50,4,1,1,1,1
HOU,Dare Ogunbowale,kicking,100.0,29,3,1,1,0,0
IND,Matt Gay,kicking,100.0,57,9,2,2,3,3
KC,Harrison Butker,kicking,0.0,0,3,0,0,3,3
LAC,Cameron Dicker,kicking,100.0,55,9,2,2,3,3
LAR,Lucas Havrisik,kicking,50.0,52,3,1,2,0,0
LV,Daniel Carlson,kicking,100.0,46,12,3,3,3,3
MIA,Jason Sanders,kicking,0.0,0,2,0,0,2,2
MIN,Greg Joseph,kicking,100.0,32,11,3,3,2,2
NE,Chad Ryland,kicking,100.0,43,5,1,1,2,2
NO,Blake Grupe,kicking,50.0,55,6,1,2,3,3
NYJ,Greg Zuerlein,kicking,100.0,47,6,2,2,0,0
PHI,Jake Elliott,kicking,0.0,0,4,0,0,4,4
PIT,Chris Boswell,kicking,100.0,30,8,2,2,2,2
SEA,Jason Myers,kicking,100.0,33,3,1,1,0,0
TB,Chase McLaughlin,kicking,100.0,55,13,3,3,4,4
TEN,Nick Folk,kicking,100.0,48,10,3,3,1,1
WSH,Joey Slye,kicking,100.0,37,8,2,2,2,2
