week,opponent,result
1,SEA,LOSS
2,LAR,LOSS
3,TEN,LOSS
4,MIA,WIN
5,BAL,LOSS
6,HOU,WIN
7,SF,WIN
8,TEN,LOSS
9,NYJ,WIN
10,JAX,WIN
11,BUF,WIN
12,TB,LOSS
13,HOU,WIN
14,BYE,BYE
15,NE,WIN
16,ARI,WIN
17,LV,LOSS
18,JAX,LOSS
