week,opponent,result
1,MIN,LOSS
2,DET,LOSS
3,DAL,WIN
4,LV,WIN
6,WSH,WIN
7,NO,WIN
8,BAL,LOSS
9,CIN,WIN
10,NYG,WIN
11,MIN,WIN
12,PIT,WIN
13,PHI,WIN
14,GB,LOSS
15,CLE,WIN
16,GB,WIN
17,SF,LOSS
18,DET,LOSS
