week,opponent,result
1,CHI,WIN
2,IND,WIN
3,TB,WIN
4,ARI,LOSS
5,SEA,WIN
6,NYG,WIN
7,DET,WIN
8,HOU,WIN
9,TEN,LOSS
10,SF,LOSS
11,BYE,BYE
12,GB,LOSS
13,JAX,WIN
14,ARI,WIN
15,SEA,WIN
16,MIN,WIN
17,BAL,WIN
18,SF,LOSS
