team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,6,288,48.0,0,1,65
ATL,Bradley Pinion,punting,4,204,51.0,0,0,57
BAL,Jordan Stout,punting,4,193,48.3,0,2,67
BUF,Sam Martin,punting,2,111,55.5,1,1,61
CAR,Johnny Hekker,punting,5,270,54.0,0,2,63
CHI,Trenton Gill,punting,2,83,41.5,0,0,46
CIN,Kevin Huber,punting,3,120,40.0,0,1,44
DET,Jack Fox,punting,3,136,45.3,0,1,47
GB,Pat O'Donnell,punting,1,31,31.0,0,1,31
HOU,Cameron Johnston,punting,4,208,52.0,2,1,67
IND,Matt Haack,punting,8,348,43.5,0,2,54
JAX,Logan Cooke,punting,3,163,54.3,0,0,60
KC,Tommy Townsend,punting,6,283,47.2,1,2,53
LAC,JK Scott,punting,4,168,42.0,0,1,48
LAR,Riley Dixon,punting,9,477,53.0,0,2,64
LV,AJ Cole,punting,4,196,49.0,0,3,60
MIA,Thomas Morstead,punting,1,51,51.0,0,0,51
MIN,Ryan Wright,punting,6,310,51.7,0,2,61
NE,Jake Bailey,punting,7,271,38.7,0,1,58
NO,Blake Gillikin,punting,5,232,46.4,0,2,53
NYJ,Braden Mann,punting,3,147,49.0,0,2,63
PHI,Arryn Siposs,punting,3,149,49.7,0,0,52
SEA,Michael Dickson,punting,3,160,53.3,0,1,57
TB,Jake Camarda,punting,6,357,59.5,1,4,74
TEN,Ryan Stonehouse,punting,8,390,48.8,0,2,63
WSH,Tress Way,punting,5,240,48.0,1,3,57
