team,player,category,INT,YDS,TD
ARI,Zaven Collins,interceptions,1,30,1
ATL,Richie Grant,interceptions,1,10,0
BAL,Justin Houston,interceptions,1,5,0
CIN,Jessie Bates III,interceptions,1,16,0
CIN,Germaine Pratt,interceptions,1,3,0
DET,Kerby Joseph,interceptions,2,9,0
DET,Aidan Hutchinson,interceptions,1,0,0
GB,Jaire Alexander,interceptions,1,29,0
MIN,Harrison Smith,interceptions,1,35,0
NE,Jonathan Jones,interceptions,1,17,1
NYJ,Sauce Gardner,interceptions,1,16,0
NYJ,Jordan Whitehead,interceptions,1,5,0
PHI,C.J. Gardner-Johnson,interceptions,1,25,0
PHI,James Bradberry IV,interceptions,1,22,0
TEN,Roger McCreary,interceptions,1,4,0
WSH,Danny Johnson,interceptions,1,0,0
