team,player,category,INT,YDS,TD
BAL,Geno Stone,interceptions,1,24,0
CAR,Troy Hill,interceptions,1,61,1
CIN,Mike Hilton,interceptions,1,0,0
CIN,Cam Taylor-Britt,interceptions,1,24,0
CLE,Martin Emerson Jr.,interceptions,1,14,0
DAL,Stephon Gilmore,interceptions,1,0,0
DEN,Justin Simmons,interceptions,1,6,0
DET,Will Harris,interceptions,1,0,0
HOU,Steven Nelson,interceptions,1,0,0
IND,JuJu Brents,interceptions,1,0,0
JAX,Darious Williams,interceptions,1,0,0
JAX,Andre Cisco,interceptions,1,21,0
JAX,Rayshawn Jenkins,interceptions,1,24,0
KC,Justin Reid,interceptions,1,11,0
KC,Nick Bolton,interceptions,1,1,0
LAR,Christian Rozeboom,interceptions,1,0,0
LV,Tre'von Moehrig,interceptions,1,25,0
MIN,Byron Murphy Jr.,interceptions,1,37,0
MIN,Jordan Hicks,interceptions,1,9,0
NE,Jahlani Tavai,interceptions,1,0,0
NO,Zack Baun,interceptions,1,10,0
NYG,Micah McFadden,interceptions,1,5,0
NYJ,Bryce Hall,interceptions,1,5,0
NYJ,Quinnen Williams,interceptions,1,7,0
NYJ,Tony Adams,interceptions,1,45,0
SEA,Tre Brown,interceptions,1,0,0
SF,Fred Warner,interceptions,1,32,0
SF,Deommodore Lenoir,interceptions,1,28,0
TEN,Sean Murphy-Bunting,interceptions,1,10,0
WSH,Benjamin St-Juste,interceptions,1,0,0
WSH,Kendall Fuller,interceptions,1,23,0
WSH,Jamin Davis,interceptions,1,0,0
