team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,3,134,44.7,0,1,48
ATL,Bradley Pinion,punting,3,140,46.7,0,2,52
BAL,Jordan Stout,punting,3,146,48.7,0,2,56
BUF,Sam Martin,punting,3,127,42.3,0,1,52
CAR,Johnny Hekker,punting,4,189,47.3,0,1,55
CHI,Trenton Gill,punting,4,176,44.0,0,1,50
CIN,Brad Robbins,punting,6,274,45.7,0,1,55
CLE,Corey Bojorquez,punting,4,218,54.5,1,3,69
DAL,Bryan Anger,punting,4,209,52.3,0,1,56
DEN,Riley Dixon,punting,5,224,44.8,0,1,52
DET,Jack Fox,punting,4,180,45.0,1,2,50
HOU,Cameron Johnston,punting,5,237,47.4,1,3,63
IND,Rigoberto Sanchez,punting,3,143,47.7,0,1,52
JAX,Logan Cooke,punting,4,203,50.8,0,1,62
KC,Tommy Townsend,punting,3,144,48.0,0,1,62
LAC,JK Scott,punting,5,203,40.6,0,1,50
LAR,Ethan Evans,punting,4,186,46.5,1,1,52
LV,AJ Cole,punting,2,103,51.5,0,1,57
MIA,Jake Bailey,punting,4,194,48.5,0,1,60
MIN,Ryan Wright,punting,5,249,49.8,1,0,63
NE,Bryce Baringer,punting,3,138,46.0,0,0,53
NO,Lou Hedley,punting,3,126,42.0,0,0,43
NYG,Jamie Gillan,punting,4,202,50.5,0,2,64
NYJ,Thomas Morstead,punting,4,194,48.5,0,3,54
PHI,Braden Mann,punting,2,81,40.5,0,1,41
SEA,Michael Dickson,punting,3,115,38.3,0,2,43
SF,Mitch Wishnowsky,punting,6,314,52.3,0,2,60
TB,Jake Camarda,punting,6,325,54.2,1,3,66
TEN,Ryan Stonehouse,punting,5,263,52.6,0,2,57
WSH,Tress Way,punting,6,260,43.3,0,3,51
