team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
LV,Aidan O'Connell,passing,102,4.6,0,0,0.0,16.3,59.3,10,22
LV,Geno Smith,passing,3025,6.75,19,17,0.0,37.42,86.54,302,448
LV,Kenny Pickett,passing,188,4.03,1,2,0.0,6.02,66.75,28,45
