team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,33,9,2,2,3,3
ATL,Younghoe Koo,kicking,100.0,21,5,1,1,2,2
BAL,Justin Tucker,kicking,100.0,35,7,2,2,1,1
BUF,Tyler Bass,kicking,50.0,35,4,1,2,1,1
CHI,Cairo Santos,kicking,0.0,0,2,0,0,2,2
CIN,Evan McPherson,kicking,100.0,48,4,1,1,1,2
DAL,Greg Zuerlein,kicking,100.0,55,9,2,2,3,3
DEN,Brandon McManus,kicking,100.0,42,3,1,1,0,0
DET,Riley Patterson,kicking,100.0,49,11,3,3,2,2
IND,Michael Badgley,kicking,50.0,23,7,1,2,4,4
JAX,Matthew Wright,kicking,0.0,0,1,0,0,1,1
KC,Harrison Butker,kicking,100.0,56,10,3,3,1,2
LAC,Dustin Hopkins,kicking,100.0,43,9,2,2,3,4
LAR,Matt Gay,kicking,100.0,44,13,3,3,4,4
LV,Daniel Carlson,kicking,100.0,52,9,3,3,0,0
MIA,Jason Sanders,kicking,67.0,48,8,2,3,2,2
MIN,Greg Joseph,kicking,100.0,41,9,3,3,0,0
NE,Nick Folk,kicking,100.0,41,6,2,2,0,0
NO,Brett Maher,kicking,50.0,42,5,1,2,2,2
NYG,Graham Gano,kicking,75.0,51,9,3,4,0,0
NYJ,Alex Kessman,kicking,0.0,0,0,0,0,0,2
PHI,Jake Elliott,kicking,100.0,46,15,4,4,3,3
PIT,Chris Boswell,kicking,100.0,53,6,2,2,0,1
SEA,Jason Myers,kicking,0.0,0,4,0,1,4,4
SF,Robbie Gould,kicking,100.0,50,5,1,1,2,3
TB,Ryan Succop,kicking,100.0,31,6,1,1,3,4
WSH,Brian Johnson,kicking,100.0,48,5,1,1,2,2
