team,player,category,INT,YDS,TD
ARI,Jalen Thompson,interceptions,1,6,0
ARI,Byron Murphy Jr.,interceptions,1,13,0
ARI,Zach Allen,interceptions,1,25,0
ARI,Budda Baker,interceptions,1,77,0
ATL,Marlon Davidson,interceptions,1,3,1
CIN,Chidobe Awuzie,interceptions,1,0,0
DAL,Carlos Watkins,interceptions,1,29,1
DAL,Trevon Diggs,interceptions,1,0,0
DAL,Jayron Kearse,interceptions,1,0,0
DAL,Damontae Kazee,interceptions,1,8,0
DEN,Pat Surtain II,interceptions,1,0,0
IND,Kenny Moore II,interceptions,1,0,0
KC,Juan Thornhill,interceptions,1,13,0
KC,Daniel Sorensen,interceptions,1,75,1
LAC,Michael Davis,interceptions,1,0,0
LAC,Chris Harris Jr.,interceptions,1,0,0
LV,Nate Hobbs,interceptions,1,9,0
MIA,Xavien Howard,interceptions,1,0,0
MIN,Cameron Dantzler Sr.,interceptions,1,0,0
NO,Marshon Lattimore,interceptions,1,15,0
PHI,Marcus Epps,interceptions,1,0,0
PIT,Minkah Fitzpatrick,interceptions,1,0,0
SEA,Quandre Diggs,interceptions,1,29,0
SEA,Bobby Wagner,interceptions,1,3,0
SF,K'Waun Williams,interceptions,1,4,0
