team,player,category,INT,YDS,TD
ARI,K'Von Wallace,interceptions,1,2,0
CHI,Greg Stroman Jr.,interceptions,1,0,0
CIN,Germaine Pratt,interceptions,1,0,0
CIN,Cam Taylor-Britt,interceptions,1,11,1
DEN,Pat Surtain II,interceptions,1,0,0
DET,Jerry Jacobs,interceptions,1,11,0
DET,Aidan Hutchinson,interceptions,1,6,0
GB,Rudy Ford,interceptions,1,9,0
IND,Julian Blackmon,interceptions,1,10,0
JAX,Darious Williams,interceptions,1,0,0
LAR,Ahkello Witherspoon,interceptions,1,0,0
LV,Robert Spillane,interceptions,2,28,0
LV,Amik Robertson,interceptions,1,0,0
NO,Pete Werner,interceptions,1,0,0
NO,Tyrann Mathieu,interceptions,1,27,1
NYG,Bobby Okereke,interceptions,1,7,0
NYG,Jason Pinnock,interceptions,1,102,1
PIT,Joey Porter Jr.,interceptions,1,0,0
SF,Tashaun Gipson Sr.,interceptions,1,26,0
SF,Fred Warner,interceptions,1,12,0
SF,Oren Burks,interceptions,1,11,0
