team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,219,54.8,0,0,62
ATL,Bradley Pinion,punting,5,200,40.0,1,1,45
BAL,Jordan Stout,punting,4,154,38.5,0,3,50
BUF,Sam Martin,punting,6,258,43.0,0,2,53
CAR,Johnny Hekker,punting,3,114,38.0,0,1,45
CHI,Trenton Gill,punting,3,131,43.7,0,1,47
CIN,Brad Robbins,punting,3,145,48.3,0,1,59
DAL,Bryan Anger,punting,5,254,50.8,0,1,54
DEN,Riley Dixon,punting,4,181,45.3,0,0,49
DET,Jack Fox,punting,2,88,44.0,0,2,55
GB,Daniel Whelan,punting,4,184,46.0,0,1,54
HOU,Cameron Johnston,punting,6,234,39.0,0,2,48
IND,Rigoberto Sanchez,punting,1,50,50.0,0,1,50
JAX,Logan Cooke,punting,5,247,49.4,1,3,60
KC,Tommy Townsend,punting,3,140,46.7,1,1,58
LAR,Ethan Evans,punting,4,215,53.8,0,2,65
LV,AJ Cole,punting,4,189,47.3,0,4,55
MIA,Jake Bailey,punting,2,69,34.5,0,1,49
MIN,Ryan Wright,punting,1,54,54.0,0,0,54
NE,Bryce Baringer,punting,8,353,44.1,0,5,57
NO,Lou Hedley,punting,7,307,43.9,1,3,55
NYG,Jamie Gillan,punting,4,161,40.3,0,3,49
NYJ,Thomas Morstead,punting,3,156,52.0,0,1,54
PHI,Braden Mann,punting,1,41,41.0,0,1,41
PIT,Brad Wing,punting,6,257,42.8,1,2,47
SF,Mitch Wishnowsky,punting,4,187,46.8,0,2,59
TEN,Ryan Stonehouse,punting,1,43,43.0,0,0,43
WSH,Tress Way,punting,2,103,51.5,0,0,52
