team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,5,252,50.4,1,2,62
ATL,Bradley Pinion,punting,9,433,48.1,0,4,59
CAR,Johnny Hekker,punting,8,367,45.9,0,1,57
CIN,Brad Robbins,punting,1,33,33.0,0,1,33
CLE,Corey Bojorquez,punting,5,236,47.2,1,2,62
DEN,Riley Dixon,punting,6,266,44.3,0,3,57
DET,Jack Fox,punting,5,254,50.8,0,1,60
GB,Daniel Whelan,punting,2,76,38.0,0,2,40
HOU,Cameron Johnston,punting,7,354,50.6,2,2,69
IND,Rigoberto Sanchez,punting,5,256,51.2,0,0,57
JAX,Logan Cooke,punting,5,203,40.6,0,2,43
KC,Tommy Townsend,punting,1,57,57.0,0,0,57
LAC,JK Scott,punting,8,367,45.9,1,7,62
LAR,Ethan Evans,punting,5,293,58.6,2,1,64
MIA,Jake Bailey,punting,3,127,42.3,0,1,47
NE,Bryce Baringer,punting,7,321,45.9,0,3,70
NO,Lou Hedley,punting,4,180,45.0,1,0,49
NYJ,Thomas Morstead,punting,7,339,48.4,0,3,58
PHI,Braden Mann,punting,3,152,50.7,0,3,52
PIT,Pressley Harvin III,punting,4,179,44.8,0,2,49
SF,Mitch Wishnowsky,punting,2,95,47.5,0,0,49
TB,Jake Camarda,punting,8,369,46.1,1,1,61
TEN,Nick Folk,punting,2,81,40.5,0,0,41
TEN,Ryan Stonehouse,punting,4,218,54.5,1,1,63
WSH,Tress Way,punting,5,214,42.8,0,2,51
