week,opponent,result
1,CLE,WIN
2,JAX,WIN
3,MIN,LOSS
4,DEN,LOSS
5,DET,LOSS
6,GB,LOSS
7,PIT,WIN
8,NYJ,LOSS
9,CHI,LOSS
10,BYE,BYE
11,PIT,LOSS
12,NE,LOSS
13,BAL,WIN
14,BUF,LOSS
15,BAL,LOSS
16,MIA,WIN
17,ARI,WIN
18,CLE,LOSS
