team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
NO,Derek Carr,passing,3878,7.19,25,8,31,375,548
NO,Jameis Winston,passing,264,4.85,2,3,2,25,47
NO,Taysom Hill,passing,83,6.17,1,0,2,6,11
