week,opponent,result
1,MIA,LOSS
2,NYJ,WIN
3,NO,LOSS
4,TB,LOSS
5,HOU,WIN
6,DAL,LOSS
7,NYJ,WIN
8,LAC,WIN
9,CAR,WIN
10,CLE,WIN
11,ATL,WIN
12,TEN,WIN
13,BUF,WIN
14,BYE,BYE
15,IND,LOSS
16,BUF,LOSS
17,JAX,WIN
18,MIA,LOSS
