team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Jacoby Brissett,passing,212,5.7,2,0,4,21,37
ATL,Kirk Cousins,passing,126,6.3,1,0,0,13,20
BAL,Tyler Huntley,passing,107,5.4,1,0,1,16,20
BUF,Josh Allen,passing,262,7.5,0,0,5,23,35
CAR,Bryce Young,passing,54,2.3,0,1,2,14,24
CHI,Caleb Williams,passing,330,7.9,2,0,0,25,42
CIN,Joe Flacco,passing,24,4.8,0,0,0,3,5
CIN,Joe Burrow,passing,305,9.8,2,0,3,24,31
CLE,Shedeur Sanders,passing,186,8.1,1,2,2,17,23
DAL,Dak Prescott,passing,307,8.3,2,0,6,19,37
DEN,Bo Nix,passing,182,4.8,1,1,1,26,38
DET,Jared Goff,passing,197,6.8,1,2,5,18,29
GB,Malik Willis,passing,288,13.7,1,0,1,18,21
GB,Clayton Tune,passing,8,2.0,0,1,1,1,4
HOU,C.J. Stroud,passing,244,8.7,2,2,0,16,28
IND,Riley Leonard,passing,0,0.0,0,1,0,0,1
IND,Philip Rivers,passing,147,4.9,1,1,2,17,30
JAX,Trevor Lawrence,passing,263,7.1,0,1,2,23,37
KC,Chris Oladokun,passing,66,3.0,1,0,1,13,22
LAC,Justin Herbert,passing,236,7.4,1,1,5,21,32
LAR,Matthew Stafford,passing,269,7.1,2,3,3,22,38
LV,Geno Smith,passing,176,6.3,1,2,3,20,28
LV,Kenny Pickett,passing,16,8.0,0,0,1,2,2
MIA,Quinn Ewers,passing,172,7.8,2,0,2,14,22
MIN,Max Brosmer,passing,51,3.2,0,0,7,9,16
NE,Drake Maye,passing,256,12.2,5,0,1,19,21
NE,Joshua Dobbs,passing,30,7.5,0,0,0,3,4
NO,Tyler Shough,passing,333,12.3,2,0,2,22,27
NYG,Jaxson Dart,passing,207,6.9,0,0,2,22,30
NYJ,Brady Cook,passing,152,4.6,0,1,1,19,33
NYJ,Austin McNamara,passing,3,3.0,0,0,0,1,1
PHI,Jalen Hurts,passing,110,4.1,1,0,1,13,27
PIT,Aaron Rodgers,passing,168,4.3,0,0,2,21,39
SEA,Sam Darnold,passing,147,5.4,1,1,3,18,27
SF,Brock Purdy,passing,303,9.2,3,1,1,24,33
TB,Baker Mayfield,passing,346,7.9,2,2,3,33,44
TEN,Cam Ward,passing,251,6.3,2,0,4,21,40
WSH,Treylon Burks,passing,0,0.0,0,0,1,0,0
WSH,Josh Johnson,passing,198,8.6,0,0,1,15,23
