team,player,category,INT,YDS,TD
ATL,Kaden Elliss,interceptions,1,12,0
BAL,Kyle Hamilton,interceptions,1,0,0
BUF,Christian Benford,interceptions,1,24,0
BUF,Jordan Phillips,interceptions,1,2,0
CIN,Germaine Pratt,interceptions,1,2,0
DET,Kerby Joseph,interceptions,2,39,0
GB,Carrington Valentine,interceptions,1,31,0
JAX,Devin Lloyd,interceptions,1,3,0
KC,Justin Reid,interceptions,1,0,0
LAR,Ahkello Witherspoon,interceptions,1,0,0
LAR,Kamren Kinchens,interceptions,1,11,0
LV,Thomas Harper,interceptions,1,14,0
LV,Jack Jones,interceptions,1,0,0
MIA,Tyrel Dodson,interceptions,1,0,0
NYG,Dru Phillips,interceptions,1,25,0
NYG,Dane Belton,interceptions,1,0,0
PHI,C.J. Gardner-Johnson,interceptions,2,94,1
SEA,Riq Woolen,interceptions,1,7,0
WSH,Quan Martin,interceptions,1,29,0
