team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Michael Palardy,punting,4,164,41.0,0,0,50
ATL,Bradley Pinion,punting,3,141,47.0,0,0,61
BAL,Jordan Stout,punting,4,165,41.3,1,2,50
BUF,Sam Martin,punting,3,137,45.7,0,1,51
CAR,Johnny Hekker,punting,5,226,45.2,0,3,51
CHI,Tory Taylor,punting,7,327,46.7,0,5,50
CIN,Ryan Rehkow,punting,1,47,47.0,0,1,47
CLE,Corey Bojorquez,punting,5,250,50.0,0,0,68
DAL,Bryan Anger,punting,4,198,49.5,0,2,62
DEN,Riley Dixon,punting,4,166,41.5,0,0,48
GB,Daniel Whelan,punting,4,169,42.3,0,1,50
HOU,Tommy Townsend,punting,6,289,48.2,1,3,69
IND,Rigoberto Sanchez,punting,1,32,32.0,0,1,32
JAX,Logan Cooke,punting,3,130,43.3,0,1,48
KC,Matt Araiza,punting,5,269,53.8,2,2,72
LAC,JK Scott,punting,2,92,46.0,0,1,53
LAR,Ethan Evans,punting,6,299,49.8,0,4,57
LV,AJ Cole,punting,4,198,49.5,1,2,71
MIA,Jake Bailey,punting,7,307,43.9,2,2,53
MIN,Ryan Wright,punting,2,71,35.5,0,1,41
NE,Bryce Baringer,punting,4,220,55.0,0,2,64
NO,Matthew Hayball,punting,7,330,47.1,0,3,64
NYG,Jamie Gillan,punting,3,146,48.7,0,0,51
NYJ,Thomas Morstead,punting,3,143,47.7,0,1,56
PHI,Braden Mann,punting,3,148,49.3,2,1,54
PIT,Corliss Waitman,punting,4,178,44.5,0,0,58
SEA,Michael Dickson,punting,6,288,48.0,0,3,58
TB,Jack Browning,punting,1,52,52.0,0,0,52
TEN,Ryan Stonehouse,punting,3,149,49.7,1,1,61
WSH,Tress Way,punting,3,153,51.0,0,2,61
