team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Trace McSorley,passing,29,3.2,0,1,0,6,9
ARI,David Blough,passing,180,10.0,1,2,3,14,18
ATL,Desmond Ridder,passing,224,7.5,2,0,2,19,30
BAL,Anthony Brown Jr.,passing,286,6.5,0,2,4,19,44
BUF,Josh Allen,passing,254,8.2,3,1,2,19,31
CAR,Sam Darnold,passing,43,2.9,0,2,2,5,15
CHI,Nathan Peterman,passing,114,6.0,1,0,1,11,19
CHI,Tim Boyle,passing,33,4.1,0,2,0,2,8
CIN,Joe Burrow,passing,215,5.1,1,0,2,25,42
CLE,Deshaun Watson,passing,230,7.9,2,2,7,19,29
DAL,Cooper Rush,passing,0,0.0,0,0,0,0,1
DAL,Dak Prescott,passing,128,3.5,1,1,1,14,37
DEN,Russell Wilson,passing,283,11.8,3,1,2,13,24
DET,Jared Goff,passing,224,6.6,0,0,1,23,34
GB,Aaron Rodgers,passing,205,7.6,1,1,2,17,27
HOU,Davis Mills,passing,298,7.8,3,2,1,22,38
HOU,Jeff Driskel,passing,13,6.5,0,0,0,2,2
IND,Sam Ehlinger,passing,209,6.0,2,2,2,23,35
JAX,Trevor Lawrence,passing,212,6.6,1,0,1,20,32
KC,Patrick Mahomes,passing,202,7.8,1,0,2,18,26
LAC,Chase Daniel,passing,25,3.6,1,0,0,5,7
LAC,Justin Herbert,passing,273,7.4,2,0,1,25,37
LAR,Baker Mayfield,passing,147,5.7,0,1,5,13,26
LV,Jarrett Stidham,passing,219,6.1,1,1,6,22,36
MIA,Skylar Thompson,passing,152,4.9,0,0,1,20,31
MIN,Nick Mullens,passing,116,8.9,0,1,0,11,13
MIN,Kirk Cousins,passing,225,11.3,1,0,0,17,20
NE,Mac Jones,passing,243,6.1,3,3,1,26,40
NO,Andy Dalton,passing,171,6.8,1,0,1,15,25
NYG,Davis Webb,passing,168,4.2,1,0,0,23,40
NYG,Lawrence Cager,passing,0,0.0,0,0,1,0,0
NYG,Jamie Gillan,passing,0,0.0,0,0,1,0,0
NYJ,Joe Flacco,passing,149,4.5,0,0,0,18,33
PHI,Jalen Hurts,passing,229,6.5,0,1,3,20,35
PIT,Kenny Pickett,passing,195,6.7,1,0,1,13,29
SEA,Geno Smith,passing,213,6.9,1,2,3,19,31
SF,Brock Purdy,passing,178,8.9,3,0,4,15,20
TB,Kyle Trask,passing,23,2.6,0,0,0,3,9
TB,Blaine Gabbert,passing,29,3.6,1,0,0,6,8
TB,Tom Brady,passing,84,4.9,1,0,0,13,17
TEN,Joshua Dobbs,passing,179,6.2,1,1,4,20,29
WSH,Sam Howell,passing,169,8.9,1,1,3,11,19
