team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,154,51.3,0,0,53
ATL,Bradley Pinion,punting,3,154,51.3,0,1,53
BAL,Jordan Stout,punting,3,137,45.7,0,1,54
BUF,Sam Martin,punting,3,125,41.7,0,1,45
CAR,Johnny Hekker,punting,6,281,46.8,0,4,54
CHI,Trenton Gill,punting,3,111,37.0,0,2,44
CIN,Drue Chrisman,punting,7,362,51.7,2,3,62
CLE,Corey Bojorquez,punting,4,194,48.5,1,0,56
DAL,Bryan Anger,punting,10,478,47.8,0,3,59
DEN,Corliss Waitman,punting,5,238,47.6,0,1,59
DET,Jack Fox,punting,4,188,47.0,0,0,57
GB,Pat O'Donnell,punting,1,37,37.0,0,0,37
HOU,Cameron Johnston,punting,4,170,42.5,0,3,51
IND,Matt Haack,punting,2,117,58.5,0,1,60
JAX,Logan Cooke,punting,4,204,51.0,0,4,56
KC,Tommy Townsend,punting,4,196,49.0,0,3,61
LAC,JK Scott,punting,5,279,55.8,2,2,60
LAR,Riley Dixon,punting,6,286,47.7,2,3,67
LV,AJ Cole,punting,2,122,61.0,0,1,63
MIA,Thomas Morstead,punting,4,181,45.3,0,2,55
MIN,Ryan Wright,punting,1,35,35.0,0,0,35
NE,Michael Palardy,punting,4,161,40.3,0,1,49
NO,Blake Gillikin,punting,5,224,44.8,1,2,68
NYG,Jamie Gillan,punting,6,264,44.0,0,0,54
NYJ,Braden Mann,punting,5,241,48.2,0,4,61
PHI,Brett Kern,punting,2,67,33.5,0,1,38
PIT,Pressley Harvin III,punting,3,144,48.0,0,1,57
SEA,Michael Dickson,punting,5,233,46.6,0,1,54
SF,Mitch Wishnowsky,punting,5,218,43.6,0,3,47
TB,Jake Camarda,punting,5,253,50.6,1,2,66
TEN,Ryan Stonehouse,punting,3,166,55.3,0,0,60
WSH,Tress Way,punting,7,319,45.6,1,3,50
