team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,0.0,0,1,0,0,1,2
ATL,Younghoe Koo,kicking,100.0,51,12,3,3,3,3
BAL,Justin Tucker,kicking,100.0,51,10,3,3,1,1
BUF,Tyler Bass,kicking,0.0,0,5,0,0,5,5
CAR,Eddy Pineiro,kicking,100.0,42,4,1,1,1,1
CHI,Cairo Santos,kicking,0.0,0,1,0,0,1,1
CIN,Evan McPherson,kicking,100.0,34,9,2,2,3,3
CLE,Cade York,kicking,0.0,0,2,0,0,2,2
DAL,Brett Maher,kicking,0.0,0,0,0,0,0,1
DEN,Brandon McManus,kicking,100.0,33,7,1,1,4,4
DET,Michael Badgley,kicking,67.0,37,8,2,3,2,2
GB,Mason Crosby,kicking,75.0,49,10,3,4,1,1
HOU,Ka'imi Fairbairn,kicking,100.0,37,6,1,1,3,3
IND,Chase McLaughlin,kicking,100.0,54,7,1,1,4,4
JAX,Riley Patterson,kicking,100.0,36,8,2,2,2,2
KC,Harrison Butker,kicking,100.0,44,7,1,1,4,4
LAC,Cameron Dicker,kicking,100.0,48,8,2,2,2,2
LAR,Matt Gay,kicking,100.0,45,10,3,3,1,1
LV,Daniel Carlson,kicking,100.0,54,7,2,2,1,1
MIA,Jason Sanders,kicking,100.0,50,9,3,3,0,0
MIN,Greg Joseph,kicking,100.0,50,11,3,3,2,3
NE,Nick Folk,kicking,100.0,24,5,1,1,2,2
NO,Wil Lutz,kicking,0.0,0,1,0,2,1,1
NYG,Graham Gano,kicking,100.0,24,4,1,1,1,1
NYJ,Greg Zuerlein,kicking,67.0,35,6,2,3,0,0
PHI,Jake Elliott,kicking,100.0,54,16,5,5,1,1
PIT,Chris Boswell,kicking,100.0,49,8,2,2,2,2
SEA,Jason Myers,kicking,80.0,37,13,4,5,1,1
SF,Robbie Gould,kicking,100.0,27,8,1,1,5,5
TB,Ryan Succop,kicking,100.0,41,5,1,1,2,2
TEN,Randy Bullock,kicking,100.0,51,10,3,3,1,1
WSH,Joey Slye,kicking,50.0,29,8,2,4,2,3
