team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,2,106,53.0,0,1,60
ATL,Bradley Pinion,punting,1,35,35.0,0,1,35
BAL,Jordan Stout,punting,3,168,56.0,1,1,67
BUF,Sam Martin,punting,8,401,50.1,0,5,63
CAR,Johnny Hekker,punting,4,206,51.5,2,1,65
CHI,Tory Taylor,punting,4,178,44.5,0,1,49
CIN,Ryan Rehkow,punting,5,253,50.6,0,4,66
CLE,Corey Bojorquez,punting,7,361,51.6,0,4,65
DAL,Bryan Anger,punting,1,45,45.0,0,0,45
DEN,Riley Dixon,punting,6,259,43.2,1,3,53
GB,Daniel Whelan,punting,5,186,37.2,0,1,41
HOU,Tommy Townsend,punting,5,221,44.2,0,2,61
IND,Rigoberto Sanchez,punting,4,210,52.5,0,2,65
JAX,Logan Cooke,punting,2,102,51.0,0,1,58
KC,Matt Araiza,punting,1,56,56.0,0,0,56
LAR,Ethan Evans,punting,3,129,43.0,0,3,51
LV,AJ Cole,punting,5,267,53.4,0,2,61
MIA,Jake Bailey,punting,2,88,44.0,0,1,46
MIN,Ryan Wright,punting,4,185,46.3,0,2,58
NE,Bryce Baringer,punting,6,310,51.7,3,1,69
NO,Matthew Hayball,punting,4,199,49.8,0,1,53
NYG,Jamie Gillan,punting,4,186,46.5,0,1,59
NYJ,Thomas Morstead,punting,6,295,49.2,1,2,56
PIT,Corliss Waitman,punting,5,222,44.4,1,2,48
SEA,Michael Dickson,punting,4,193,48.3,1,2,55
SF,Mitch Wishnowsky,punting,1,41,41.0,0,0,41
TB,Trenton Gill,punting,2,87,43.5,1,0,45
WSH,Tress Way,punting,4,192,48.0,1,0,53
