team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,75.0,42,10,3,4,1,1
ATL,Younghoe Koo,kicking,60.0,54,12,3,5,3,3
BAL,Justin Tucker,kicking,100.0,56,11,2,2,5,5
BUF,Tyler Bass,kicking,100.0,38,8,2,2,2,2
CAR,Eddy Pineiro,kicking,50.0,27,4,1,2,1,1
CHI,Cairo Santos,kicking,100.0,33,6,1,1,3,4
CIN,Evan McPherson,kicking,0.0,0,4,0,1,4,4
CLE,Dustin Hopkins,kicking,100.0,51,7,2,2,1,1
DAL,Brandon Aubrey,kicking,67.0,55,8,2,3,2,2
DEN,Wil Lutz,kicking,100.0,51,10,2,2,4,4
GB,Brayden Narveson,kicking,100.0,46,6,1,1,3,3
HOU,Ka'imi Fairbairn,kicking,100.0,59,11,3,3,2,2
IND,Matt Gay,kicking,100.0,37,10,2,2,4,4
JAX,Cam Little,kicking,100.0,49,13,3,3,4,4
KC,Harrison Butker,kicking,80.0,38,14,4,5,2,2
LAR,Joshua Karty,kicking,0.0,0,1,0,0,1,2
LV,Daniel Carlson,kicking,100.0,40,4,1,1,1,1
MIA,Jason Sanders,kicking,75.0,54,9,3,4,0,0
MIN,Will Reichard,kicking,100.0,54,11,3,3,2,2
NE,Joey Slye,kicking,50.0,38,4,1,2,1,1
NO,Blake Grupe,kicking,0.0,0,1,0,0,1,2
NYG,Greg Joseph,kicking,100.0,38,11,3,3,2,2
NYJ,Greg Zuerlein,kicking,100.0,32,5,1,1,2,2
PIT,Chris Boswell,kicking,100.0,41,5,1,1,2,2
SEA,Jason Myers,kicking,67.0,48,8,2,3,2,2
SF,Jake Moody,kicking,100.0,28,8,2,2,2,2
SF,Mitch Wishnowsky,kicking,100.0,26,3,1,1,0,0
TB,Chase McLaughlin,kicking,100.0,53,12,3,3,3,3
WSH,Austin Seibert,kicking,100.0,30,10,2,2,4,4
