team,player,category,INT,YDS,TD
ARI,Mack Wilson Sr.,interceptions,1,0,0
ARI,Kyzir White,interceptions,1,0,0
BAL,Marlon Humphrey,interceptions,1,0,0
BUF,Terrel Bernard,interceptions,1,1,0
CHI,Kevin Byard,interceptions,1,0,0
CLE,Jeremiah Owusu-Koramoah,interceptions,1,0,0
DEN,Riley Moss,interceptions,1,0,0
DEN,Pat Surtain II,interceptions,2,100,1
GB,Xavier McKinney,interceptions,1,28,0
IND,Nick Cross,interceptions,1,0,0
KC,Bryan Cook,interceptions,1,0,0
LAR,Jaylen McCollough,interceptions,1,4,1
MIN,Cam Bynum,interceptions,1,0,0
MIN,Stephon Gilmore,interceptions,1,0,0
MIN,Andrew Van Ginkel,interceptions,1,63,1
NE,Christian Gonzalez,interceptions,1,2,0
NO,Khalen Saunders,interceptions,1,37,0
NYJ,Brandin Echols,interceptions,1,0,0
PIT,Joey Porter Jr.,interceptions,1,16,0
PIT,Donte Jackson,interceptions,1,2,0
SF,Nick Bosa,interceptions,1,30,0
TB,Lavonte David,interceptions,1,7,0
