team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,195,6.5,1,1,1,19,30
ATL,Kirk Cousins,passing,509,8.8,4,1,4,42,58
ATL,Darnell Mooney,passing,0,0.0,0,0,0,0,1
BAL,Lamar Jackson,passing,348,8.3,4,0,1,26,42
BUF,Josh Allen,passing,131,4.4,1,0,1,9,30
CAR,Andy Dalton,passing,136,4.9,0,1,3,18,28
CAR,Bryce Young,passing,58,8.3,0,0,1,4,7
CHI,Caleb Williams,passing,304,10.5,2,0,1,20,29
CIN,Joe Burrow,passing,392,10.1,5,1,3,30,39
CLE,Deshaun Watson,passing,125,4.5,1,0,7,15,28
CLE,Jameis Winston,passing,16,16.0,0,0,0,1,1
DAL,Dak Prescott,passing,352,8.4,2,2,2,29,42
DEN,Bo Nix,passing,206,7.6,2,0,3,19,27
GB,Jordan Love,passing,224,8.6,2,1,2,15,26
HOU,C.J. Stroud,passing,331,8.7,1,1,1,28,38
IND,Adonai Mitchell,passing,24,24.0,0,0,0,1,1
IND,Joe Flacco,passing,359,8.2,3,0,4,33,44
JAX,Trevor Lawrence,passing,371,10.9,2,1,0,28,34
KC,Patrick Mahomes,passing,331,8.5,0,1,2,28,39
LAR,Matthew Stafford,passing,260,5.8,1,1,3,29,45
LV,Gardner Minshew II,passing,137,8.1,1,2,2,12,17
LV,Aidan O'Connell,passing,94,4.7,0,1,1,10,20
MIA,Tyler Huntley,passing,194,6.3,0,1,3,18,31
MIN,Sam Darnold,passing,179,5.8,0,1,4,14,31
MIN,Nick Mullens,passing,24,24.0,0,0,0,1,1
NE,Jacoby Brissett,passing,160,4.7,0,0,2,18,34
NO,Derek Carr,passing,165,5.9,2,1,1,18,28
NO,Jake Haener,passing,17,2.4,0,0,0,2,7
NYG,Daniel Jones,passing,257,7.6,2,0,3,23,34
NYJ,Aaron Rodgers,passing,244,4.5,2,3,3,29,54
PIT,Justin Fields,passing,131,4.9,2,0,3,15,27
PIT,Kyle Allen,passing,19,19.0,0,0,0,1,1
SEA,Geno Smith,passing,284,7.1,1,0,7,28,40
SF,Brock Purdy,passing,244,7.0,1,2,2,19,35
TB,Baker Mayfield,passing,180,7.5,3,0,1,19,24
WSH,Jayden Daniels,passing,238,9.5,1,1,3,14,25
WSH,Marcus Mariota,passing,-2,-0.7,0,0,0,1,3
