week,opponent,result
1,NO,LOSS
2,DET,WIN
3,SF,WIN
4,PIT,WIN
5,CIN,WIN
6,CHI,WIN
7,WSH,WIN
8,ARI,WIN
9,KC,LOSS
10,SEA,WIN
11,MIN,LOSS
12,LAR,WIN
13,BYE,BYE
14,CHI,WIN
15,BAL,WIN
16,CLE,WIN
17,MIN,WIN
18,DET,LOSS
