week,opponent,result
1,MIN,LOSS
2,CHI,WIN
3,TB,WIN
4,NE,WIN
5,NYG,LOSS
6,NYJ,LOSS
7,WSH,LOSS
8,BUF,LOSS
9,DET,LOSS
10,DAL,WIN
11,TEN,LOSS
12,PHI,LOSS
13,CHI,WIN
14,BYE,BYE
15,LAR,WIN
16,MIA,WIN
17,MIN,WIN
18,DET,LOSS
