team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,9,9.0,0,0,0,1,1
ARI,Colt McCoy,passing,246,6.2,0,1,6,27,40
BAL,Anthony Brown Jr.,passing,16,3.2,0,0,1,3,5
BAL,Tyler Huntley,passing,88,7.3,0,0,1,8,12
BUF,Josh Allen,passing,147,5.4,1,0,3,16,27
CAR,Sam Darnold,passing,120,5.0,1,0,2,14,24
CIN,Joe Burrow,passing,239,7.2,2,1,1,18,33
CIN,Ja'Marr Chase,passing,0,0.0,0,0,1,0,0
CLE,Deshaun Watson,passing,276,6.6,1,1,2,26,42
CLE,Jacoby Brissett,passing,0,0.0,0,0,0,0,1
DAL,Dak Prescott,passing,284,7.3,1,2,1,24,39
DEN,Brett Rypien,passing,16,2.0,1,1,0,4,8
DEN,Russell Wilson,passing,247,6.9,3,1,6,23,36
DET,Jared Goff,passing,330,8.5,3,0,0,27,39
HOU,Jeff Driskel,passing,38,6.3,1,0,0,4,6
HOU,Davis Mills,passing,175,8.3,0,1,0,16,21
JAX,Trevor Lawrence,passing,368,8.8,3,0,0,30,42
KC,Patrick Mahomes,passing,352,8.4,3,3,2,28,42
LAC,Justin Herbert,passing,367,7.2,1,0,4,39,51
LAR,Baker Mayfield,passing,230,6.6,1,0,4,22,35
LV,Derek Carr,passing,137,6.9,0,2,0,11,20
MIA,Tua Tagovailoa,passing,145,5.2,1,0,2,10,28
MIN,Dalvin Cook,passing,0,0.0,0,0,1,0,0
MIN,Kirk Cousins,passing,425,10.4,2,0,3,31,41
NE,Mac Jones,passing,235,6.7,0,1,1,24,35
NYG,Tyrod Taylor,passing,47,9.4,1,0,3,5,5
NYG,Daniel Jones,passing,169,6.3,1,0,4,18,27
NYJ,Joe Flacco,passing,1,0.3,0,0,1,1,3
NYJ,Mike White,passing,268,6.1,0,0,3,27,44
PHI,Jalen Hurts,passing,217,7.0,2,0,4,21,31
PIT,Mitchell Trubisky,passing,276,9.2,1,3,1,22,30
PIT,Kenny Pickett,passing,0,0.0,0,0,1,0,1
SEA,Geno Smith,passing,264,7.3,3,2,3,21,36
SF,Brock Purdy,passing,185,8.8,2,0,0,16,21
SF,Josh Johnson,passing,10,5.0,0,0,0,1,2
TB,Tom Brady,passing,253,4.6,1,2,0,34,55
TEN,Ryan Tannehill,passing,254,6.7,2,1,4,25,38
