week,opponent,result
1,CHI,WIN
2,ATL,LOSS
3,CIN,WIN
4,PIT,LOSS
5,CLE,WIN
7,PHI,LOSS
8,LAC,LOSS
9,DET,WIN
10,BAL,LOSS
11,CHI,LOSS
12,GB,LOSS
13,SEA,LOSS
14,WSH,WIN
15,DAL,WIN
16,NYG,WIN
17,DET,WIN
18,GB,WIN
