team,player,category,INT,YDS,TD
BUF,Jordan Poyer,interceptions,1,26,0
CAR,Shaq Thompson,interceptions,1,10,0
CAR,Stephon Gilmore,interceptions,1,0,0
CIN,Jessie Bates III,interceptions,1,65,0
CIN,Germaine Pratt,interceptions,1,4,0
DEN,Justin Simmons,interceptions,2,24,0
GB,Henry Black,interceptions,1,0,0
GB,Rasul Douglas,interceptions,1,0,0
IND,Kenny Moore II,interceptions,1,32,0
IND,Tyquan Lewis,interceptions,1,8,0
KC,Willie Gay Jr.,interceptions,1,13,0
LAR,Ernest Jones IV,interceptions,1,19,0
MIN,Xavier Woods,interceptions,1,12,0
NE,Adrian Phillips,interceptions,2,38,1
NO,P.J. Williams,interceptions,1,40,1
NO,C.J. Gardner-Johnson,interceptions,1,26,0
NYG,Julian Love,interceptions,1,0,0
NYJ,Shaq Lawson,interceptions,1,1,0
SEA,Quandre Diggs,interceptions,1,9,0
SF,Josh Norman,interceptions,1,40,0
TEN,Kevin Byard,interceptions,1,14,0
TEN,Elijah Molden,interceptions,1,2,1
