team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,0.0,0,3,0,0,3,3
ATL,Younghoe Koo,kicking,67.0,53,7,2,3,1,1
BUF,Tyler Bass,kicking,100.0,57,8,2,2,2,2
CAR,Zane Gonzalez,kicking,100.0,57,13,4,4,1,1
CHI,Cairo Santos,kicking,100.0,40,10,3,3,1,2
CIN,Evan McPherson,kicking,100.0,21,7,1,1,4,4
CLE,Chase McLaughlin,kicking,100.0,30,4,1,1,1,1
DAL,Greg Zuerlein,kicking,67.0,39,8,2,3,2,2
DEN,Brandon McManus,kicking,50.0,45,5,1,2,2,2
DET,Austin Seibert,kicking,0.0,0,0,0,1,0,0
GB,Mason Crosby,kicking,100.0,21,6,1,1,3,3
HOU,Ka'imi Fairbairn,kicking,0.0,0,2,0,1,2,2
IND,Michael Badgley,kicking,100.0,34,7,1,1,4,4
JAX,Matthew Wright,kicking,0.0,0,1,0,0,1,1
KC,Harrison Butker,kicking,100.0,36,8,2,2,2,2
LAC,Dustin Hopkins,kicking,100.0,48,6,1,1,3,3
LAR,Matt Gay,kicking,100.0,27,8,1,1,5,5
MIA,Jason Sanders,kicking,50.0,51,3,1,2,0,0
MIN,Greg Joseph,kicking,100.0,45,10,3,3,1,1
NE,Nick Folk,kicking,100.0,48,13,4,4,1,1
NO,Brian Johnson,kicking,100.0,35,12,3,3,3,4
NYG,Graham Gano,kicking,100.0,23,5,1,1,2,2
NYJ,Matt Ammendola,kicking,67.0,24,8,2,3,2,2
PHI,Jake Elliott,kicking,100.0,43,14,3,3,5,5
PIT,Chris Boswell,kicking,100.0,31,3,1,1,0,0
SEA,Jason Myers,kicking,100.0,31,7,1,1,4,4
SF,Joey Slye,kicking,80.0,52,13,4,5,1,2
TB,Ryan Succop,kicking,0.0,0,3,0,0,3,3
TEN,Randy Bullock,kicking,100.0,46,10,2,2,4,4
WSH,Chris Blewitt,kicking,33.0,52,4,1,3,1,1
