team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,166,55.3,0,1,62
ATL,Dustin Colquitt,punting,4,190,47.5,0,2,55
BUF,Matt Haack,punting,4,163,40.8,0,1,55
CAR,Lachlan Edwards,punting,4,175,43.8,0,1,49
CHI,Pat O'Donnell,punting,2,85,42.5,0,0,44
CIN,Kevin Huber,punting,4,185,46.3,0,3,55
CLE,Jamie Gillan,punting,4,197,49.3,0,1,56
DAL,Bryan Anger,punting,4,181,45.3,0,1,54
DEN,Sam Martin,punting,3,135,45.0,0,3,48
DET,Jack Fox,punting,3,140,46.7,0,2,58
GB,Corey Bojorquez,punting,3,154,51.3,0,2,58
HOU,Cameron Johnston,punting,7,364,52.0,0,2,63
IND,Rigoberto Sanchez,punting,4,182,45.5,0,2,63
JAX,Logan Cooke,punting,4,195,48.8,1,0,54
KC,Tommy Townsend,punting,4,203,50.8,0,4,58
LAC,Ty Long,punting,5,240,48.0,0,0,52
LAR,Johnny Hekker,punting,4,178,44.5,0,1,49
MIA,Michael Palardy,punting,5,259,51.8,2,0,59
MIN,Jordan Berry,punting,6,237,39.5,0,3,51
NE,Jake Bailey,punting,3,146,48.7,0,2,62
NO,Blake Gillikin,punting,3,158,52.7,0,1,63
NYG,Riley Dixon,punting,5,215,43.0,0,2,51
NYJ,Thomas Morstead,punting,1,45,45.0,0,0,45
PHI,Arryn Siposs,punting,1,47,47.0,0,0,47
PIT,Pressley Harvin III,punting,4,176,44.0,0,1,56
SEA,Michael Dickson,punting,5,226,45.2,0,3,59
TB,Bradley Pinion,punting,3,126,42.0,0,2,54
TEN,Brett Kern,punting,4,188,47.0,0,2,52
WSH,Tress Way,punting,1,66,66.0,0,0,66
