week,opponent,result
1,DAL,LOSS
2,ARI,WIN
3,SF,LOSS
4,SEA,LOSS
5,MIA,LOSS
6,BUF,LOSS
7,WSH,WIN
8,NYJ,LOSS
9,LV,LOSS
10,DAL,LOSS
11,WSH,WIN
12,NE,WIN
13,BYE,BYE
14,GB,WIN
15,NO,LOSS
16,PHI,LOSS
17,LAR,LOSS
18,PHI,WIN
