team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
PHI,Gardner Minshew II,passing,439,6.93,4,1,5,41,60
PHI,Greg Ward,passing,2,1.0,0,0,0,1,2
PHI,Jalen Hurts,passing,3144,7.36,16,9,26,265,432
