week,opponent,result
1,NO,LOSS
2,LAC,WIN
3,CLE,LOSS
4,CIN,WIN
5,IND,LOSS
6,BAL,LOSS
7,BYE,BYE
8,ATL,WIN
9,PIT,LOSS
10,TB,LOSS
11,JAX,LOSS
12,CAR,WIN
13,IND,LOSS
14,MIA,WIN
15,HOU,LOSS
16,SEA,LOSS
17,HOU,LOSS
18,JAX,WIN
