team,player,category,FUM,LOST
MIN,Adam Thielen,fumbles,1,0
MIN,Alexander Mattison,fumbles,1,1
MIN,Anthony Barr,fumbles,0,0
MIN,Blake Lynch,fumbles,0,0
MIN,Brian O'Neill,fumbles,0,0
MIN,Christian Darrisaw,fumbles,0,0
MIN,Dalvin Cook,fumbles,3,2
MIN,Dalvin Tomlinson,fumbles,0,0
MIN,Dede Westbrook,fumbles,2,0
MIN,Eric Kendricks,fumbles,0,0
MIN,James Lynch,fumbles,0,0
MIN,Justin Jefferson,fumbles,1,1
MIN,Kirk Cousins,fumbles,12,2
MIN,Kris Boyd,fumbles,0,0
MIN,Sheldon Richardson,fumbles,0,0
MIN,Tyler Conklin,fumbles,1,0
