team,player,category,NO,YDS,AVG,TB,In 20,LONG
ATL,Bradley Pinion,punting,5,250,50.0,0,1,59
BAL,Jordan Stout,punting,4,217,54.3,1,1,70
BUF,Sam Martin,punting,3,126,42.0,0,2,47
CHI,Tory Taylor,punting,2,83,41.5,0,1,48
CIN,Ryan Rehkow,punting,5,250,50.0,0,2,64
CLE,Corey Bojorquez,punting,5,228,45.6,0,1,52
DAL,Bryan Anger,punting,2,82,41.0,0,1,42
DEN,Riley Dixon,punting,3,135,45.0,0,1,51
GB,Daniel Whelan,punting,1,47,47.0,0,1,47
HOU,Tommy Townsend,punting,4,210,52.5,1,3,59
IND,Rigoberto Sanchez,punting,4,200,50.0,0,0,58
JAX,Logan Cooke,punting,5,267,53.4,0,3,61
KC,Matt Araiza,punting,4,193,48.3,0,1,58
LAC,JK Scott,punting,6,280,46.7,0,2,58
LAR,Ethan Evans,punting,4,138,34.5,0,3,50
LV,AJ Cole,punting,1,54,54.0,0,1,54
MIN,Ryan Wright,punting,5,222,44.4,1,3,66
NE,Bryce Baringer,punting,2,74,37.0,1,1,42
NO,Matthew Hayball,punting,3,110,36.7,0,3,43
NYJ,Thomas Morstead,punting,5,277,55.4,1,1,63
PHI,Braden Mann,punting,3,133,44.3,0,1,51
PIT,Corliss Waitman,punting,4,226,56.5,1,1,71
SEA,Michael Dickson,punting,2,97,48.5,1,0,53
SF,Pat O'Donnell,punting,3,123,41.0,1,1,43
TEN,Ryan Stonehouse,punting,5,241,48.2,1,1,62
WSH,Tress Way,punting,5,221,44.2,0,2,51
