team,player,category,INT,YDS,TD
BAL,Marlon Humphrey,interceptions,1,0,0
BUF,Terrel Bernard,interceptions,1,0,0
BUF,Taylor Rapp,interceptions,1,5,0
CHI,Terell Smith,interceptions,1,23,0
CLE,Denzel Ward,interceptions,1,0,0
DAL,Malik Hooker,interceptions,1,21,0
DEN,Cody Barton,interceptions,1,15,0
DET,Kerby Joseph,interceptions,1,0,0
HOU,Derek Stingley Jr.,interceptions,1,7,0
KC,Chamarri Conner,interceptions,1,29,0
LAR,Kamren Kinchens,interceptions,1,9,0
MIA,Jalen Ramsey,interceptions,1,7,0
MIN,Harrison Smith,interceptions,1,0,0
PHI,Reed Blankenship,interceptions,1,0,0
PIT,Payton Wilson,interceptions,1,0,0
SEA,Johnathan Hankins,interceptions,1,0,0
SF,Isaac Yiadom,interceptions,1,11,0
