team,player,category,FG,PCT,LONG,XP,PTS
ATL,Younghoe Koo,kicking,2/2,100.0,51,0/0,6
BAL,Justin Tucker,kicking,1/3,33.3,54,1/1,4
BUF,Tyler Bass,kicking,1/1,100.0,33,3/4,6
CHI,Cairo Santos,kicking,2/3,66.7,53,1/1,7
CIN,Evan McPherson,kicking,2/4,50.0,27,3/3,9
CLE,Dustin Hopkins,kicking,0/2,0.0,0,0/0,0
DAL,Brandon Aubrey,kicking,1/2,50.0,53,1/1,4
DEN,Wil Lutz,kicking,1/1,100.0,45,5/5,8
DET,Jake Bates,kicking,1/1,100.0,54,7/7,10
GB,Brandon McManus,kicking,0/0,0.0,0,2/2,2
HOU,Ka'imi Fairbairn,kicking,2/2,100.0,33,4/4,10
IND,Matt Gay,kicking,3/3,100.0,56,1/1,10
JAX,Cam Little,kicking,2/2,100.0,59,0/0,6
KC,Spencer Shrader,kicking,0/0,0.0,0,3/3,3
LAC,Cameron Dicker,kicking,2/2,100.0,53,4/4,10
LAR,Joshua Karty,kicking,0/1,0.0,0,4/4,4
LV,Daniel Carlson,kicking,2/2,100.0,27,1/1,7
MIA,Jason Sanders,kicking,2/2,100.0,46,4/4,10
MIN,Parker Romo,kicking,1/1,100.0,40,2/3,5
NE,Joey Slye,kicking,3/3,100.0,42,1/2,10
NO,Blake Grupe,kicking,0/0,0.0,0,5/5,5
NYJ,Anders Carlson,kicking,2/2,100.0,58,3/3,9
PHI,Jake Elliott,kicking,2/4,50.0,31,2/3,8
PIT,Chris Boswell,kicking,6/6,100.0,57,0/0,18
SEA,Jason Myers,kicking,2/2,100.0,57,2/2,8
SF,Jake Moody,kicking,1/1,100.0,33,2/2,5
TEN,Nick Folk,kicking,2/2,100.0,43,1/1,7
WSH,Zane Gonzalez,kicking,1/1,100.0,45,1/1,4
