team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ATL,Kirk Cousins,passing,173,6.4,0,1,3,18,27
ATL,Michael Penix Jr.,passing,24,6.0,0,0,1,2,4
BAL,Lamar Jackson,passing,207,6.3,1,1,2,16,33
BUF,Josh Allen,passing,262,6.6,1,1,0,27,40
CHI,Caleb Williams,passing,231,7.5,0,0,3,23,31
CIN,Joe Burrow,passing,356,7.1,3,0,3,28,50
CLE,Dorian Thompson-Robinson,passing,0,0.0,0,0,0,0,1
CLE,Jameis Winston,passing,395,8.6,2,0,3,30,46
DAL,Bryan Anger,passing,4,4.0,0,0,0,1,1
DAL,Cooper Rush,passing,354,6.4,1,1,5,32,55
DEN,Bo Nix,passing,307,9.3,4,0,1,28,33
DET,Hendon Hooker,passing,37,9.3,0,0,0,3,4
DET,Jared Goff,passing,412,14.2,4,0,0,24,29
GB,Jordan Love,passing,261,15.4,1,1,1,13,17
HOU,C.J. Stroud,passing,257,7.6,0,1,1,23,34
IND,Anthony Richardson Sr.,passing,272,9.1,1,0,2,20,30
JAX,Mac Jones,passing,138,4.8,0,1,1,17,29
KC,Patrick Mahomes,passing,196,5.9,3,2,2,23,33
LAC,Justin Herbert,passing,297,8.3,2,0,2,17,36
LAR,Matthew Stafford,passing,295,10.9,4,0,0,18,27
LV,Gardner Minshew II,passing,282,6.6,2,1,3,30,43
MIA,Tua Tagovailoa,passing,288,8.0,3,0,2,28,36
MIN,Sam Darnold,passing,246,7.7,2,0,2,20,32
NE,Drake Maye,passing,282,7.1,2,1,3,29,39
NO,Taysom Hill,passing,18,9.0,0,1,0,1,2
NO,Derek Carr,passing,248,9.2,2,0,1,21,27
NYJ,Aaron Rodgers,passing,184,6.3,2,0,3,22,29
PHI,Jalen Hurts,passing,221,7.9,0,0,2,18,28
PIT,Russell Wilson,passing,205,5.7,0,1,4,23,36
SEA,Geno Smith,passing,221,6.9,0,1,4,25,32
SF,Brock Purdy,passing,159,5.7,1,1,2,21,28
TEN,Will Levis,passing,295,9.5,1,1,5,17,31
WSH,Jayden Daniels,passing,191,6.0,1,1,3,22,32
