team,player,category,REC,YDS,AVG,TD,LONG,TGTS
ARI,Zay Jones,receiving,0,0,0.0,0,0,1
ARI,Elijah Higgins,receiving,1,1,1.0,0,1,1
ARI,Greg Dortch,receiving,1,5,5.0,1,5,2
ARI,Michael Wilson,receiving,1,15,15.0,0,15,3
ARI,Marvin Harrison Jr.,receiving,3,21,7.0,0,10,6
ARI,Trey McBride,receiving,5,51,10.2,0,14,7
ARI,James Conner,receiving,2,51,25.5,0,33,4
ARI,Tip Reiman,receiving,1,1,1.0,0,1,1
ATL,Darnell Mooney,receiving,5,46,9.2,0,20,8
ATL,Bijan Robinson,receiving,3,40,13.3,0,26,5
ATL,Casey Washington,receiving,1,14,14.0,0,14,1
ATL,Tyler Allgeier,receiving,1,9,9.0,0,9,1
ATL,Ray-Ray McCloud III,receiving,2,9,4.5,0,6,4
ATL,Drake London,receiving,6,63,10.5,1,17,8
ATL,Kyle Pitts Sr.,receiving,7,65,9.3,0,13,9
BAL,Mark Andrews,receiving,4,41,10.3,2,20,4
BAL,Nelson Agholor,receiving,1,20,20.0,0,20,2
BAL,Isaiah Likely,receiving,2,17,8.5,0,10,4
BAL,Charlie Kolar,receiving,1,14,14.0,0,14,1
BAL,Derrick Henry,receiving,1,13,13.0,1,13,1
BAL,Zay Flowers,receiving,1,11,11.0,0,11,1
BAL,Patrick Ricard,receiving,0,0,0.0,0,0,1
BAL,Justice Hill,receiving,3,44,14.7,1,18,3
BAL,Rashod Bateman,receiving,4,121,30.3,1,59,4
BUF,Khalil Shakir,receiving,7,65,9.3,0,20,7
BUF,Dalton Kincaid,receiving,3,52,17.3,0,25,6
BUF,Ray Davis,receiving,1,6,6.0,0,6,1
BUF,Dawson Knox,receiving,1,5,5.0,0,5,3
BUF,Ty Johnson,receiving,1,4,4.0,1,4,1
BUF,Mack Hollins,receiving,0,0,0.0,0,0,1
BUF,Curtis Samuel,receiving,0,0,0.0,0,0,1
BUF,Keon Coleman,receiving,4,125,31.3,0,57,7
BUF,Amari Cooper,receiving,4,66,16.5,1,27,5
CAR,Miles Sanders,receiving,1,-6,-6.0,0,-6,2
CAR,Xavier Legette,receiving,2,3,1.5,0,6,3
CAR,Ian Thomas,receiving,2,4,2.0,0,2,2
CAR,Jalen Coker,receiving,1,10,10.0,0,10,1
CAR,Diontae Johnson,receiving,1,17,17.0,0,17,3
CAR,Ja'Tavion Sanders,receiving,6,61,10.2,0,29,6
CIN,Drew Sample,receiving,0,0,0.0,0,0,1
CIN,Tanner Hudson,receiving,0,0,0.0,0,0,1
CIN,Mike Gesicki,receiving,1,2,2.0,0,2,1
CIN,Chase Brown,receiving,2,9,4.5,0,6,2
CIN,Zack Moss,receiving,3,33,11.0,0,19,3
CIN,Ja'Marr Chase,receiving,5,55,11.0,1,18,6
