team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,145,5.6,1,1,0,14,26
ATL,Kirk Cousins,passing,232,6.6,1,2,3,24,35
ATL,Michael Penix Jr.,passing,14,14.0,0,0,0,1,1
BAL,Lamar Jackson,passing,281,12.8,5,0,2,17,22
BUF,Josh Allen,passing,323,9.8,2,0,1,21,33
CAR,Bryce Young,passing,-4,-2.0,0,0,0,2,2
CAR,Andy Dalton,passing,93,5.8,0,2,2,11,16
CIN,Joe Burrow,passing,181,7.2,2,0,3,15,25
CLE,Jameis Winston,passing,67,6.1,1,0,1,5,11
CLE,Dorian Thompson-Robinson,passing,82,3.4,0,2,1,11,24
CLE,Deshaun Watson,passing,128,7.5,0,0,2,15,17
DEN,Bo Nix,passing,164,6.3,0,0,0,16,26
DET,Jared Goff,passing,280,11.2,2,0,4,22,25
GB,Jordan Love,passing,220,6.7,3,2,3,24,33
HOU,C.J. Stroud,passing,86,4.1,0,0,4,10,21
IND,Anthony Richardson Sr.,passing,129,5.4,0,0,0,10,24
JAX,Trevor Lawrence,passing,193,9.7,1,0,0,15,20
KC,Patrick Mahomes,passing,154,5.7,0,2,2,16,27
LAC,Justin Herbert,passing,349,8.9,0,0,3,27,39
LAR,Matthew Stafford,passing,154,6.7,0,1,1,14,23
LV,Aidan O'Connell,passing,52,5.2,0,0,0,6,10
LV,Gardner Minshew II,passing,154,4.5,0,3,2,15,34
MIA,Tim Boyle,passing,74,5.7,0,0,0,8,13
MIA,Tyler Huntley,passing,87,6.7,1,0,2,7,13
MIN,Sam Darnold,passing,259,9.6,1,1,4,22,27
NE,Drake Maye,passing,276,7.5,2,0,2,26,37
NO,Spencer Rattler,passing,172,4.9,0,0,6,25,35
NO,Jake Haener,passing,38,9.5,1,0,0,3,4
NYG,Daniel Jones,passing,99,4.7,0,0,7,14,21
NYG,Drew Lock,passing,6,0.8,0,0,1,3,8
NYJ,Aaron Rodgers,passing,276,7.1,1,2,1,24,39
PHI,Jalen Hurts,passing,114,8.1,1,0,4,10,14
PHI,Kenny Pickett,passing,0,0.0,0,0,1,0,1
PIT,Russell Wilson,passing,264,9.1,2,0,1,16,29
SEA,Jaxon Smith-Njigba,passing,35,35.0,0,0,0,1,1
SEA,Geno Smith,passing,207,7.4,2,0,1,18,28
SF,Brock Purdy,passing,212,6.8,0,3,1,17,31
TB,Baker Mayfield,passing,370,8.2,3,2,3,31,45
TEN,Mason Rudolph,passing,215,5.4,1,1,3,25,40
WSH,Jayden Daniels,passing,6,3.0,0,0,0,2,2
WSH,Marcus Mariota,passing,205,8.9,2,0,1,18,23
