team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,178,44.5,0,4,54
ATL,Bradley Pinion,punting,3,133,44.3,0,1,47
BAL,Jordan Stout,punting,2,87,43.5,1,0,57
BUF,Sam Martin,punting,5,197,39.4,1,1,46
CAR,Johnny Hekker,punting,5,252,50.4,0,2,62
CIN,Ryan Rehkow,punting,8,354,44.3,0,4,58
CLE,Corey Bojorquez,punting,7,355,50.7,0,3,58
DEN,Riley Dixon,punting,3,129,43.0,0,1,50
DET,Jack Fox,punting,4,219,54.8,1,1,63
GB,Daniel Whelan,punting,5,284,56.8,0,0,66
HOU,Tommy Townsend,punting,6,307,51.2,1,4,66
IND,Rigoberto Sanchez,punting,7,337,48.1,1,0,55
JAX,Logan Cooke,punting,2,70,35.0,0,2,38
KC,Matt Araiza,punting,3,179,59.7,1,0,67
LAC,JK Scott,punting,2,75,37.5,0,1,39
LAR,Ethan Evans,punting,6,261,43.5,1,3,52
LV,AJ Cole,punting,4,190,47.5,1,1,56
MIA,Jake Bailey,punting,6,286,47.7,0,3,59
MIN,Ryan Wright,punting,3,145,48.3,0,1,60
NE,Bryce Baringer,punting,4,209,52.3,0,3,66
NO,Matthew Hayball,punting,6,267,44.5,1,3,52
NYG,Matt Haack,punting,11,517,47.0,0,4,64
NYJ,Thomas Morstead,punting,4,177,44.3,0,0,47
PHI,Braden Mann,punting,8,419,52.4,1,2,67
PIT,Corliss Waitman,punting,4,184,46.0,0,3,55
SEA,Michael Dickson,punting,4,156,39.0,0,3,42
SF,Mitch Wishnowsky,punting,4,193,48.3,0,3,51
TB,Trenton Gill,punting,2,93,46.5,0,1,52
TEN,Ryan Stonehouse,punting,5,266,53.2,0,0,62
WSH,Tress Way,punting,1,40,40.0,0,1,40
