team,player,category,INT,YDS,TD
BAL,Marlon Humphrey,interceptions,2,0,0
BUF,Damar Hamlin,interceptions,1,0,0
CIN,Geno Stone,interceptions,1,49,0
CIN,Sam Hubbard,interceptions,1,0,0
DET,Brian Branch,interceptions,1,0,0
HOU,Neville Hewitt,interceptions,1,45,0
HOU,Calen Bullock,interceptions,1,0,0
KC,Jaden Hicks,interceptions,1,0,0
KC,Chris Roland-Wallace,interceptions,1,0,0
KC,Justin Reid,interceptions,1,8,0
LAC,Teair Tart,interceptions,1,4,0
LAR,Cobie Durant,interceptions,1,0,0
LAR,Jaylen McCollough,interceptions,2,2,0
LV,Nate Hobbs,interceptions,1,35,0
PIT,Beanie Bishop,interceptions,2,41,0
SEA,Coby Bryant,interceptions,1,9,0
SEA,Julian Love,interceptions,1,26,0
SF,Deommodore Lenoir,interceptions,1,33,0
SF,Kalia Davis,interceptions,1,2,0
WSH,Emmanuel Forbes Jr.,interceptions,1,19,0
WSH,Dante Fowler Jr.,interceptions,1,67,1
