team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,165,41.3,1,0,48
ATL,Dustin Colquitt,punting,5,269,53.8,0,1,62
BAL,Sam Koch,punting,6,260,43.3,1,2,57
BUF,Matt Haack,punting,1,55,55.0,0,0,55
CAR,Lachlan Edwards,punting,4,185,46.3,1,0,55
CHI,Pat O'Donnell,punting,5,205,41.0,0,2,53
CIN,Kevin Huber,punting,2,105,52.5,0,0,58
CLE,Jamie Gillan,punting,5,189,37.8,0,2,52
DAL,Bryan Anger,punting,6,280,46.7,0,3,53
DET,Jack Fox,punting,6,280,46.7,2,2,61
GB,Corey Bojorquez,punting,2,102,51.0,0,1,62
HOU,Cameron Johnston,punting,7,307,43.9,0,5,52
IND,Rigoberto Sanchez,punting,1,31,31.0,0,1,31
JAX,Logan Cooke,punting,4,193,48.3,0,2,52
KC,Tommy Townsend,punting,3,166,55.3,1,1,68
KC,Harrison Butker,punting,1,31,31.0,0,1,31
LV,AJ Cole,punting,4,186,46.5,1,2,54
MIA,Michael Palardy,punting,4,191,47.8,0,1,57
MIN,Jordan Berry,punting,3,125,41.7,0,1,47
NE,Jake Bailey,punting,4,193,48.3,0,3,60
NO,Blake Gillikin,punting,6,299,49.8,0,3,62
NYG,Riley Dixon,punting,4,193,48.3,0,3,52
NYJ,Braden Mann,punting,4,152,38.0,0,3,43
PHI,Arryn Siposs,punting,5,221,44.2,0,1,53
PIT,Pressley Harvin III,punting,1,46,46.0,0,0,46
SEA,Michael Dickson,punting,5,257,51.4,1,3,60
SF,Mitch Wishnowsky,punting,2,88,44.0,0,0,45
TB,Bradley Pinion,punting,3,136,45.3,0,2,55
TEN,Brett Kern,punting,2,80,40.0,0,1,53
WSH,Tress Way,punting,3,139,46.3,0,1,56
