team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Colt McCoy,passing,328,7.5,2,0,2,35,44
ATL,Matt Ryan,passing,153,5.5,0,2,4,19,28
ATL,Josh Rosen,passing,5,1.7,0,1,0,1,3
ATL,Feleipe Franks,passing,0,0.0,0,1,0,0,1
BAL,Tyler Huntley,passing,219,6.1,0,1,6,26,36
BUF,Josh Allen,passing,209,6.0,2,2,1,21,35
BUF,Mitchell Trubisky,passing,19,3.8,0,1,0,3,5
CAR,Cam Newton,passing,189,7.0,2,0,1,21,27
CHI,Andy Dalton,passing,201,8.7,2,0,1,11,23
CHI,Justin Fields,passing,79,7.2,0,0,2,4,11
CIN,Joe Burrow,passing,148,5.1,1,0,3,20,29
CLE,Baker Mayfield,passing,176,6.1,1,2,1,15,29
DAL,Dak Prescott,passing,216,5.0,0,2,5,28,43
DET,Tim Boyle,passing,77,3.3,0,2,0,15,23
GB,Aaron Rodgers,passing,385,11.7,4,0,2,23,33
HOU,Tyrod Taylor,passing,107,4.5,0,0,0,14,24
IND,Carson Wentz,passing,106,5.3,1,0,0,11,20
JAX,Trevor Lawrence,passing,158,6.3,0,0,3,16,25
KC,Patrick Mahomes,passing,260,7.0,0,1,3,23,37
LAC,Justin Herbert,passing,382,9.3,3,1,2,30,41
LV,Derek Carr,passing,215,8.0,1,1,2,19,27
MIA,Tua Tagovailoa,passing,273,8.3,2,1,0,27,33
MIA,Albert Wilson,passing,0,0.0,0,0,0,0,1
MIN,Kirk Cousins,passing,341,9.7,3,0,2,24,35
NE,Mac Jones,passing,207,8.0,1,1,3,22,26
NO,Trevor Siemian,passing,214,5.4,3,2,0,22,40
NYG,Daniel Jones,passing,167,4.4,1,2,2,23,38
NYG,Kadarius Toney,passing,0,0.0,0,0,0,0,1
NYJ,Joe Flacco,passing,291,7.5,2,0,2,24,39
PHI,Jalen Hurts,passing,147,6.1,0,0,3,13,24
PIT,Ben Roethlisberger,passing,273,6.2,3,0,3,28,44
SEA,Russell Wilson,passing,207,8.0,0,0,4,14,26
SF,Jimmy Garoppolo,passing,176,8.0,2,0,2,16,22
TB,Tom Brady,passing,307,6.7,2,1,0,30,46
TB,Blaine Gabbert,passing,11,5.5,0,0,1,2,2
TEN,Ryan Tannehill,passing,323,6.2,1,4,2,35,52
WSH,Taylor Heinicke,passing,206,9.4,3,0,3,16,22
