team,player,category,CAR,YDS,AVG,TD,LONG
TB,Baker Mayfield,rushing,55,382,6.75,1,33
TB,Bucky Irving,rushing,173,588,3.38,1,32
TB,Emeka Egbuka,rushing,2,9,4.5,0,9
TB,Jalen McMillan,rushing,1,1,1.0,0,1
TB,Josh Williams,rushing,4,11,2.8,0,4
TB,Kameron Johnson,rushing,2,13,6.5,0,11
TB,Owen Wright,rushing,3,6,2.0,0,4
TB,Rachaad White,rushing,132,572,5.4,4,39
TB,Sean Tucker,rushing,86,320,2.81,7,43
TB,Sterling Shepard,rushing,4,19,4.75,0,11
TB,Teddy Bridgewater,rushing,3,4,1.33,0,6
TB,Tez Johnson,rushing,7,22,4.0,0,6
