team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,188,47.0,0,1,60
ATL,Bradley Pinion,punting,3,140,46.7,0,2,59
BAL,Jordan Stout,punting,3,152,50.7,1,1,59
BUF,Brad Robbins,punting,4,158,39.5,0,1,48
CAR,Sam Martin,punting,2,86,43.0,0,2,56
CHI,Tory Taylor,punting,6,266,44.3,0,1,56
CIN,Ryan Rehkow,punting,6,316,52.7,2,1,62
CLE,Corey Bojorquez,punting,2,97,48.5,1,0,55
DAL,Bryan Anger,punting,2,87,43.5,0,1,49
DEN,Jeremy Crawshaw,punting,3,144,48.0,0,3,53
DET,Jack Fox,punting,3,142,47.3,0,0,55
GB,Daniel Whelan,punting,3,164,54.7,0,2,65
HOU,Tommy Townsend,punting,4,208,52.0,0,1,61
JAX,Logan Cooke,punting,2,111,55.5,0,1,57
KC,Matt Araiza,punting,3,116,38.7,0,1,40
LAC,JK Scott,punting,2,106,53.0,0,0,56
LAR,Ethan Evans,punting,5,220,44.0,1,2,50
LV,AJ Cole,punting,5,249,49.8,2,0,60
MIA,Jake Bailey,punting,1,42,42.0,0,1,42
MIN,Ryan Wright,punting,7,333,47.6,0,0,54
NE,Bryce Baringer,punting,6,244,40.7,0,2,59
NO,Kai Kroeger,punting,4,202,50.5,0,2,54
NYG,Jamie Gillan,punting,6,287,47.8,2,0,65
NYJ,Austin McNamara,punting,2,94,47.0,0,1,55
PHI,Braden Mann,punting,3,146,48.7,0,2,51
PIT,Corliss Waitman,punting,4,190,47.5,0,1,50
SEA,Michael Dickson,punting,5,259,51.8,0,2,58
SF,Thomas Morstead,punting,2,96,48.0,0,1,54
TB,Riley Dixon,punting,4,205,51.3,0,2,62
TEN,Johnny Hekker,punting,8,395,49.4,1,2,65
WSH,Tress Way,punting,5,245,49.0,1,2,64
