team,player,category,FUM,LOST
TB,Anthony Nelson,fumbles,0,0
TB,Breshad Perriman,fumbles,2,1
TB,Cameron Brate,fumbles,0,0
TB,Carl Nassib,fumbles,0,0
TB,Carlton Davis III,fumbles,0,0
TB,Chris Godwin Jr.,fumbles,2,2
TB,Dee Delaney,fumbles,1,1
TB,Deven Thompkins,fumbles,1,0
TB,Devin White,fumbles,0,0
TB,Giovani Bernard,fumbles,1,0
TB,Lavonte David,fumbles,0,0
TB,Logan Ryan,fumbles,0,0
TB,Rachaad White,fumbles,3,3
TB,Robert Hainsey,fumbles,1,0
TB,Russell Gage Jr.,fumbles,1,1
TB,Tom Brady,fumbles,5,4
TB,Vita Vea,fumbles,0,0
TB,William Gholston,fumbles,0,0
