team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
CLE,Chase McLaughlin,kicking,44.81,57,81,15,21,36,37
CLE,Chris Naggar,kicking,100.0,37,4,1,1,1,2
