team,player,category,FUM,LOST
PHI,A.J. Brown,fumbles,2,2
PHI,Boston Scott,fumbles,1,1
PHI,Britain Covey,fumbles,2,0
PHI,D'Andre Swift,fumbles,3,1
PHI,DeVonta Smith,fumbles,1,1
PHI,Fletcher Cox,fumbles,0,0
PHI,Jalen Carter,fumbles,0,0
PHI,Jalen Hurts,fumbles,9,5
PHI,James Bradberry IV,fumbles,0,0
PHI,Justin Evans,fumbles,0,0
PHI,Kelee Ringo,fumbles,0,0
PHI,Kenny Gainwell,fumbles,3,1
PHI,Lane Johnson,fumbles,0,0
PHI,Marcus Mariota,fumbles,1,1
PHI,Nicholas Morrow,fumbles,0,0
PHI,Reed Blankenship,fumbles,0,0
PHI,Tyler Steen,fumbles,0,0
PHI,Zach Cunningham,fumbles,0,0
