team,player,category,INT,YDS,TD
MIN,Akayleb Evans,interceptions,1,1,0
MIN,Byron Murphy Jr.,interceptions,3,59,0
MIN,Cam Bynum,interceptions,2,0,0
MIN,Ivan Pace Jr.,interceptions,1,0,0
MIN,Jordan Hicks,interceptions,1,9,0
MIN,Joshua Metellus,interceptions,1,43,0
MIN,Mekhi Blackmon,interceptions,1,0,0
MIN,Theo Jackson,interceptions,1,0,0
