team,player,category,CAR,YDS,AVG,TD,LONG
MIN,Alexander Mattison,rushing,180,700,3.78,0,21
MIN,Brandon Powell,rushing,5,17,3.4,0,9
MIN,C.J. Ham,rushing,1,7,7.0,0,7
MIN,Cam Akers,rushing,38,138,4.55,1,19
MIN,Jaren Hall,rushing,6,14,2.33,0,8
MIN,Jordan Addison,rushing,1,2,2.0,0,2
MIN,Joshua Dobbs,rushing,30,163,5.44,3,22
MIN,Justin Jefferson,rushing,1,-12,-12.0,0,-12
MIN,Kene Nwangwu,rushing,5,13,2.33,0,8
MIN,Kirk Cousins,rushing,14,25,2.21,0,10
MIN,Nick Mullens,rushing,10,25,3.18,0,6
MIN,Ty Chandler,rushing,102,461,4.73,3,31
