team,player,category,REC,YDS,AVG,TD,LONG,TGTS
DEN,Adam Prentice,receiving,6,53,7.92,0,14,8
DEN,Adam Trautman,receiving,20,195,9.18,1,26,23
DEN,Bo Nix,receiving,0,0,0.0,0,0,1
DEN,Courtland Sutton,receiving,74,1017,13.75,7,52,124
DEN,Evan Engram,receiving,50,461,8.89,1,41,76
DEN,Garett Bolles,receiving,0,0,0.0,0,0,1
DEN,J.K. Dobbins,receiving,11,37,2.95,0,9,14
DEN,Jaleel McLaughlin,receiving,4,27,5.4,0,17,6
DEN,Lil'Jordan Humphrey,receiving,9,101,8.7,1,22,15
DEN,Lucas Krull,receiving,2,15,7.5,0,9,4
DEN,Marvin Mims Jr.,receiving,37,322,7.07,1,31,51
DEN,Michael Bandy,receiving,4,50,14.33,1,20,4
DEN,Nate Adkins,receiving,6,48,4.0,1,16,11
DEN,Pat Bryant,receiving,31,378,12.8,1,48,49
DEN,RJ Harvey,receiving,47,356,6.59,5,32,58
DEN,Trent Sherfield,receiving,3,21,7.0,0,15,4
DEN,Troy Franklin,receiving,65,709,9.65,6,48,104
DEN,Tyler Badie,receiving,19,141,6.54,0,19,31
